場次編號,玩家人數,玩家,角色,所屬陣營,獲勝陣營,是否獲勝
1,5,B,亞瑟的忠誠僕人,好人,好人,是
1,5,C,派西維爾,好人,好人,是
1,5,D,梅林,好人,好人,是
1,5,F,刺客,邪惡,好人,否
1,5,G,莫甘娜,邪惡,好人,否
2,5,B,派西維爾,好人,好人,是
2,5,C,刺客,邪惡,好人,否
2,5,D,莫甘娜,邪惡,好人,否
2,5,F,梅林,好人,好人,是
2,5,G,亞瑟的忠誠僕人,好人,好人,是
3,5,B,派西維爾,好人,好人,是
3,5,C,刺客,邪惡,好人,否
3,5,D,莫甘娜,邪惡,好人,否
3,5,F,亞瑟的忠誠僕人,好人,好人,是
3,5,G,梅林,好人,好人,是
4,5,B,梅林,好人,邪惡,否
4,5,C,刺客,邪惡,邪惡,是
4,5,D,莫甘娜,邪惡,邪惡,是
4,5,F,亞瑟的忠誠僕人,好人,邪惡,否
4,5,G,派西維爾,好人,邪惡,否
5,5,B,莫甘娜,邪惡,好人,否
5,5,C,梅林,好人,好人,是
5,5,D,派西維爾,好人,好人,是
5,5,F,亞瑟的忠誠僕人,好人,好人,是
5,5,G,刺客,邪惡,好人,否
6,5,B,亞瑟的忠誠僕人,好人,好人,是
6,5,C,派西維爾,好人,好人,是
6,5,D,刺客,邪惡,好人,否
6,5,F,莫甘娜,邪惡,好人,否
6,5,G,梅林,好人,好人,是
7,5,B,亞瑟的忠誠僕人,好人,邪惡,否
7,5,C,派西維爾,好人,邪惡,否
7,5,E,莫甘娜,邪惡,邪惡,是
7,5,F,梅林,好人,邪惡,否
7,5,G,刺客,邪惡,邪惡,是
8,5,B,莫甘娜,邪惡,邪惡,是
8,5,C,梅林,好人,邪惡,否
8,5,E,派西維爾,好人,邪惡,否
8,5,F,亞瑟的忠誠僕人,好人,邪惡,否
8,5,G,刺客,邪惡,邪惡,是
9,7,A,梅林,好人,邪惡,否
9,7,B,派西維爾,好人,邪惡,否
9,7,C,刺客,邪惡,邪惡,是
9,7,D,莫甘娜,邪惡,邪惡,是
9,7,F,亞瑟的忠誠僕人,好人,邪惡,否
9,7,G,奧伯倫,邪惡,邪惡,是
9,7,H,亞瑟的忠誠僕人,好人,邪惡,否
10,7,A,莫甘娜,邪惡,好人,否
10,7,B,梅林,好人,好人,是
10,7,C,亞瑟的忠誠僕人,好人,好人,是
10,7,D,派西維爾,好人,好人,是
10,7,E,刺客,邪惡,好人,否
10,7,F,奧伯倫,邪惡,好人,否
10,7,G,亞瑟的忠誠僕人,好人,好人,是
11,5,A,刺客,邪惡,邪惡,是
11,5,B,亞瑟的忠誠僕人,好人,邪惡,否
11,5,C,派西維爾,好人,邪惡,否
11,5,D,梅林,好人,邪惡,否
11,5,G,莫甘娜,邪惡,邪惡,是
12,5,A,莫甘娜,邪惡,邪惡,是
12,5,B,亞瑟的忠誠僕人,好人,邪惡,否
12,5,C,刺客,邪惡,邪惡,是
12,5,D,派西維爾,好人,邪惡,否
12,5,G,梅林,好人,邪惡,否
13,6,A,亞瑟的忠誠僕人,好人,邪惡,否
13,6,B,刺客,邪惡,邪惡,是
13,6,C,派西維爾,好人,邪惡,否
13,6,D,莫甘娜,邪惡,邪惡,是
13,6,F,亞瑟的忠誠僕人,好人,邪惡,否
13,6,G,梅林,好人,邪惡,否
14,6,A,亞瑟的忠誠僕人,好人,邪惡,否
14,6,B,刺客,邪惡,邪惡,是
14,6,C,派西維爾,好人,邪惡,否
14,6,D,梅林,好人,邪惡,否
14,6,F,莫甘娜,邪惡,邪惡,是
14,6,G,亞瑟的忠誠僕人,好人,邪惡,否
15,6,A,亞瑟的忠誠僕人,好人,好人,是
15,6,B,派西維爾,好人,好人,是
15,6,C,亞瑟的忠誠僕人,好人,好人,是
15,6,D,莫甘娜,邪惡,好人,否
15,6,F,梅林,好人,好人,是
15,6,G,刺客,邪惡,好人,否
16,6,A,梅林,好人,好人,是
16,6,B,莫甘娜,邪惡,好人,否
16,6,C,刺客,邪惡,好人,否
16,6,D,派西維爾,好人,好人,是
