玩家,角色,陣營,角色出場數,角色勝場,角色勝率(%),個人總勝率(%),角色勝率－個人勝率(百分點),全團同陣營勝率(%),角色勝率－陣營勝率(百分點),方向判讀,大落差標記,樣本提醒
A,梅林,好人,7,3,42.86,46.43,-3.57,55.97,-13.11,雙負：可能尚未熟悉角色,,
A,派西維爾,好人,7,4,57.14,46.43,10.71,55.97,1.17,雙正：超出個人與陣營基準,,
A,亞瑟的忠誠僕人,好人,8,4,50.0,46.43,3.57,55.97,-5.97,混合或持平：兩項基準結論不一致,,
A,刺客,邪惡,2,1,50.0,46.43,3.57,44.0,6.0,雙正：超出個人與陣營基準,,樣本極少
A,莫甘娜,邪惡,4,1,25.0,46.43,-21.43,44.0,-19.0,雙負：可能尚未熟悉角色,是,樣本偏少
B,梅林,好人,6,3,50.0,47.22,2.78,55.97,-5.97,混合或持平：兩項基準結論不一致,,
B,派西維爾,好人,6,4,66.67,47.22,19.45,55.97,10.7,雙正：超出個人與陣營基準,,
B,亞瑟的忠誠僕人,好人,13,6,46.15,47.22,-1.07,55.97,-9.82,雙負：可能尚未熟悉角色,,
B,刺客,邪惡,5,3,60.0,47.22,12.78,44.0,16.0,雙正：超出個人與陣營基準,,
B,莫甘娜,邪惡,6,1,16.67,47.22,-30.55,44.0,-27.33,雙負：可能尚未熟悉角色,是,
C,梅林,好人,7,4,57.14,58.33,-1.19,55.97,1.17,混合或持平：兩項基準結論不一致,,
C,派西維爾,好人,7,3,42.86,58.33,-15.47,55.97,-13.11,雙負：可能尚未熟悉角色,,
C,亞瑟的忠誠僕人,好人,7,6,85.71,58.33,27.38,55.97,29.74,雙正：超出個人與陣營基準,是,
C,刺客,邪惡,8,4,50.0,58.33,-8.33,44.0,6.0,混合或持平：兩項基準結論不一致,,
C,莫甘娜,邪惡,7,4,57.14,58.33,-1.19,44.0,13.14,混合或持平：兩項基準結論不一致,,
D,梅林,好人,5,3,60.0,55.88,4.12,55.97,4.03,雙正：超出個人與陣營基準,,
D,派西維爾,好人,7,5,71.43,55.88,15.55,55.97,15.46,雙正：超出個人與陣營基準,,
D,亞瑟的忠誠僕人,好人,11,6,54.55,55.88,-1.33,55.97,-1.42,雙負：可能尚未熟悉角色,,
D,刺客,邪惡,4,1,25.0,55.88,-30.88,44.0,-19.0,雙負：可能尚未熟悉角色,是,樣本偏少
D,莫甘娜,邪惡,7,4,57.14,55.88,1.26,44.0,13.14,雙正：超出個人與陣營基準,,
E,派西維爾,好人,1,0,0.0,25.0,-25.0,55.97,-55.97,雙負：可能尚未熟悉角色,是,樣本極少
E,刺客,邪惡,1,0,0.0,25.0,-25.0,44.0,-44.0,雙負：可能尚未熟悉角色,是,樣本極少
E,莫甘娜,邪惡,1,1,100.0,25.0,75.0,44.0,56.0,雙正：超出個人與陣營基準,是,樣本極少
E,奧伯倫,邪惡,1,0,0.0,25.0,-25.0,44.0,-44.0,雙負：可能尚未熟悉角色,是,樣本極少
F,梅林,好人,5,4,80.0,44.12,35.88,55.97,24.03,雙正：超出個人與陣營基準,是,
F,派西維爾,好人,4,2,50.0,44.12,5.88,55.97,-5.97,混合或持平：兩項基準結論不一致,,樣本偏少
F,亞瑟的忠誠僕人,好人,12,5,41.67,44.12,-2.45,55.97,-14.3,雙負：可能尚未熟悉角色,,
F,刺客,邪惡,6,1,16.67,44.12,-27.45,44.0,-27.33,雙負：可能尚未熟悉角色,是,
F,莫甘娜,邪惡,6,3,50.0,44.12,5.88,44.0,6.0,雙正：超出個人與陣營基準,,
F,奧伯倫,邪惡,1,0,0.0,44.12,-44.12,44.0,-44.0,雙負：可能尚未熟悉角色,是,樣本極少
G,梅林,好人,6,3,50.0,61.11,-11.11,55.97,-5.97,雙負：可能尚未熟悉角色,,
G,派西維爾,好人,4,2,50.0,61.11,-11.11,55.97,-5.97,雙負：可能尚未熟悉角色,,樣本偏少
G,亞瑟的忠誠僕人,好人,10,8,80.0,61.11,18.89,55.97,24.03,雙正：超出個人與陣營基準,是,
G,刺客,邪惡,10,6,60.0,61.11,-1.11,44.0,16.0,混合或持平：兩項基準結論不一致,,
G,莫甘娜,邪惡,5,2,40.0,61.11,-21.11,44.0,-4.0,雙負：可能尚未熟悉角色,是,
G,奧伯倫,邪惡,1,1,100.0,61.11,38.89,44.0,56.0,雙正：超出個人與陣營基準,是,樣本極少
H,亞瑟的忠誠僕人,好人,1,0,0.0,0.0,0.0,55.97,-55.97,混合或持平：兩項基準結論不一致,是,樣本極少
