玩家,角色,參與場數,理論出場次數,實際出場次數,次數落差,理論平均機率(%),實際出場率(%),出場率落差(百分點),標準化落差(z),雙尾p值,方向,統計判定,趣味標記,樣本提醒
A,梅林,28,4.66,7,2.34,16.65,25.0,8.35,1.19,0.3454,偏高,未達顯著,值得聊聊：偏高,
A,派西維爾,28,4.66,7,2.34,16.65,25.0,8.35,1.19,0.3454,偏高,未達顯著,值得聊聊：偏高,
A,亞瑟的忠誠僕人,28,8.92,8,-0.92,31.87,28.57,-3.3,-0.38,0.8825,偏低,未達顯著,,
A,刺客,28,4.66,2,-2.66,16.65,7.14,-9.51,-1.35,0.2642,偏低,未達顯著,值得聊聊：偏低,
A,莫甘娜,28,4.66,4,-0.66,16.65,14.29,-2.36,-0.34,0.9808,偏低,未達顯著,,
A,奧伯倫,28,0.43,0,-0.43,1.53,0.0,-1.53,-0.71,1.0,偏低,未達顯著,,
B,梅林,36,6.26,6,-0.26,17.39,16.67,-0.73,-0.12,1.0,偏低,未達顯著,,
B,派西維爾,36,6.26,6,-0.26,17.39,16.67,-0.73,-0.12,1.0,偏低,未達顯著,,
B,亞瑟的忠誠僕人,36,10.52,13,2.48,29.23,36.11,6.88,0.92,0.4584,偏高,未達顯著,,
B,刺客,36,6.26,5,-1.26,17.39,13.89,-3.51,-0.56,0.7714,偏低,未達顯著,,
B,莫甘娜,36,6.26,6,-0.26,17.39,16.67,-0.73,-0.12,1.0,偏低,未達顯著,,
B,奧伯倫,36,0.43,0,-0.43,1.19,0.0,-1.19,-0.71,1.0,偏低,未達顯著,,
C,梅林,36,6.26,7,0.74,17.39,19.44,2.05,0.32,0.8789,偏高,未達顯著,,
C,派西維爾,36,6.26,7,0.74,17.39,19.44,2.05,0.32,0.8789,偏高,未達顯著,,
C,亞瑟的忠誠僕人,36,10.52,7,-3.52,29.23,19.44,-9.79,-1.3,0.2603,偏低,未達顯著,值得聊聊：偏低,
C,刺客,36,6.26,8,1.74,17.39,22.22,4.83,0.77,0.5632,偏高,未達顯著,,
C,莫甘娜,36,6.26,7,0.74,17.39,19.44,2.05,0.32,0.8789,偏高,未達顯著,,
C,奧伯倫,36,0.43,0,-0.43,1.19,0.0,-1.19,-0.71,1.0,偏低,未達顯著,,
D,梅林,34,5.86,5,-0.86,17.24,14.71,-2.54,-0.39,0.909,偏低,未達顯著,,
D,派西維爾,34,5.86,7,1.14,17.24,20.59,3.35,0.52,0.7376,偏高,未達顯著,,
D,亞瑟的忠誠僕人,34,10.12,11,0.88,29.78,32.35,2.58,0.33,0.868,偏高,未達顯著,,
D,刺客,34,5.86,4,-1.86,17.24,11.76,-5.48,-0.85,0.558,偏低,未達顯著,,
D,莫甘娜,34,5.86,7,1.14,17.24,20.59,3.35,0.52,0.7376,偏高,未達顯著,,
D,奧伯倫,34,0.43,0,-0.43,1.26,0.0,-1.26,-0.71,1.0,偏低,未達顯著,,
E,梅林,4,0.69,0,-0.69,17.14,0.0,-17.14,-0.91,0.9404,偏低,未達顯著,,參與場數偏少
E,派西維爾,4,0.69,1,0.31,17.14,25.0,7.86,0.42,1.0,偏高,未達顯著,,參與場數偏少
E,亞瑟的忠誠僕人,4,0.97,0,-0.97,24.29,0.0,-24.29,-1.14,0.6531,偏低,未達顯著,值得聊聊：偏低,參與場數偏少
E,刺客,4,0.69,1,0.31,17.14,25.0,7.86,0.42,1.0,偏高,未達顯著,,參與場數偏少
E,莫甘娜,4,0.69,1,0.31,17.14,25.0,7.86,0.42,1.0,偏高,未達顯著,,參與場數偏少
E,奧伯倫,4,0.29,1,0.71,7.14,25.0,17.86,1.44,0.5306,偏高,未達顯著,值得聊聊：偏高,參與場數偏少
F,梅林,34,5.86,5,-0.86,17.24,14.71,-2.54,-0.39,0.909,偏低,未達顯著,,
F,派西維爾,34,5.86,4,-1.86,17.24,11.76,-5.48,-0.85,0.558,偏低,未達顯著,,
F,亞瑟的忠誠僕人,34,10.12,12,1.88,29.78,35.29,5.52,0.71,0.591,偏高,未達顯著,,
F,刺客,34,5.86,6,0.14,17.24,17.65,0.41,0.06,1.0,偏高,未達顯著,,
F,莫甘娜,34,5.86,6,0.14,17.24,17.65,0.41,0.06,1.0,偏高,未達顯著,,
F,奧伯倫,34,0.43,1,0.57,1.26,2.94,1.68,0.94,0.7405,偏高,未達顯著,,
G,梅林,36,6.26,6,-0.26,17.39,16.67,-0.73,-0.12,1.0,偏低,未達顯著,,
G,派西維爾,36,6.26,4,-2.26,17.39,11.11,-6.28,-1.0,0.45,偏低,未達顯著,,
G,亞瑟的忠誠僕人,36,10.52,10,-0.52,29.23,27.78,-1.46,-0.19,1.0,偏低,未達顯著,,
G,刺客,36,6.26,10,3.74,17.39,27.78,10.38,1.65,0.1647,偏高,未達顯著,值得聊聊：偏高,
G,莫甘娜,36,6.26,5,-1.26,17.39,13.89,-3.51,-0.56,0.7714,偏低,未達顯著,,
G,奧伯倫,36,0.43,1,0.57,1.19,2.78,1.59,0.94,0.7405,偏高,未達顯著,,
H,梅林,1,0.14,0,-0.14,14.29,0.0,-14.29,-0.41,1.0,偏低,未達顯著,,參與場數偏少
H,派西維爾,1,0.14,0,-0.14,14.29,0.0,-14.29,-0.41,1.0,偏低,未達顯著,,參與場數偏少
H,亞瑟的忠誠僕人,1,0.29,1,0.71,28.57,100.0,71.43,1.58,0.5714,偏高,未達顯著,值得聊聊：偏高,參與場數偏少
H,刺客,1,0.14,0,-0.14,14.29,0.0,-14.29,-0.41,1.0,偏低,未達顯著,,參與場數偏少
H,莫甘娜,1,0.14,0,-0.14,14.29,0.0,-14.29,-0.41,1.0,偏低,未達顯著,,參與場數偏少
H,奧伯倫,1,0.14,0,-0.14,14.29,0.0,-14.29,-0.41,1.0,偏低,未達顯著,,參與場數偏少
