玩家,角色,玩家總場數,角色出場數,角色出場率(%),角色勝場,角色勝率(%)
A,梅林,28,7,25.0,3,42.86
A,派西維爾,28,7,25.0,4,57.14
A,亞瑟的忠誠僕人,28,8,28.57,4,50.0
A,刺客,28,2,7.14,1,50.0
A,莫甘娜,28,4,14.29,1,25.0
B,梅林,36,6,16.67,3,50.0
B,派西維爾,36,6,16.67,4,66.67
B,亞瑟的忠誠僕人,36,13,36.11,6,46.15
B,刺客,36,5,13.89,3,60.0
B,莫甘娜,36,6,16.67,1,16.67
C,梅林,36,7,19.44,4,57.14
C,派西維爾,36,7,19.44,3,42.86
C,亞瑟的忠誠僕人,36,7,19.44,6,85.71
C,刺客,36,8,22.22,4,50.0
C,莫甘娜,36,7,19.44,4,57.14
D,梅林,34,5,14.71,3,60.0
D,派西維爾,34,7,20.59,5,71.43
D,亞瑟的忠誠僕人,34,11,32.35,6,54.55
D,刺客,34,4,11.76,1,25.0
D,莫甘娜,34,7,20.59,4,57.14
E,派西維爾,4,1,25.0,0,0.0
E,刺客,4,1,25.0,0,0.0
E,莫甘娜,4,1,25.0,1,100.0
E,奧伯倫,4,1,25.0,0,0.0
F,梅林,34,5,14.71,4,80.0
F,派西維爾,34,4,11.76,2,50.0
F,亞瑟的忠誠僕人,34,12,35.29,5,41.67
F,刺客,34,6,17.65,1,16.67
F,莫甘娜,34,6,17.65,3,50.0
F,奧伯倫,34,1,2.94,0,0.0
G,梅林,36,6,16.67,3,50.0
G,派西維爾,36,4,11.11,2,50.0
G,亞瑟的忠誠僕人,36,10,27.78,8,80.0
G,刺客,36,10,27.78,6,60.0
G,莫甘娜,36,5,13.89,2,40.0
G,奧伯倫,36,1,2.78,1,100.0
H,亞瑟的忠誠僕人,1,1,100.0,0,0.0
